,Year,Month,Mean Temp (°C),Date/Time
0,1840,JAN,,1840-01
1,1840,FEB,,1840-02
2,1840,MAR,1.2,1840-03
3,1840,APR,6.7,1840-04
4,1840,MAY,12.4,1840-05
5,1840,JUN,15.8,1840-06
6,1840,JUL,19.5,1840-07
7,1840,AUG,19.0,1840-08
8,1840,SEP,12.6,1840-09
9,1840,OCT,7.4,1840-10
10,1840,NOV,2.1,1840-11
11,1840,DEC,-4.9,1840-12
12,1841,JAN,-4.5,1841-01
13,1841,FEB,-5.5,1841-02
14,1841,MAR,-2.3,1841-03
15,1841,APR,4.3,1841-04
16,1841,MAY,11.0,1841-05
17,1841,JUN,19.4,1841-06
18,1841,JUL,19.2,1841-07
19,1841,AUG,18.7,1841-08
20,1841,SEP,16.1,1841-09
21,1841,OCT,5.7,1841-10
22,1841,NOV,1.3,1841-11
23,1841,DEC,-2.0,1841-12
24,1842,JAN,-2.9,1842-01
25,1842,FEB,-2.2,1842-02
26,1842,MAR,2.7,1842-03
27,1842,APR,7.0,1842-04
28,1842,MAY,10.2,1842-05
29,1842,JUN,14.5,1842-06
30,1842,JUL,18.6,1842-07
31,1842,AUG,19.5,1842-08
32,1842,SEP,13.8,1842-09
33,1842,OCT,7.8,1842-10
34,1842,NOV,1.0,1842-11
35,1842,DEC,-3.8,1842-12
36,1843,JAN,-2.2,1843-01
37,1843,FEB,-8.6,1843-02
38,1843,MAR,-5.8,1843-03
39,1843,APR,5.1,1843-04
40,1843,MAY,10.8,1843-05
41,1843,JUN,14.8,1843-06
42,1843,JUL,19.0,1843-07
43,1843,AUG,19.4,1843-08
44,1843,SEP,16.4,1843-09
45,1843,OCT,6.4,1843-10
46,1843,NOV,0.7,1843-11
47,1843,DEC,-0.7,1843-12
48,1844,JAN,-6.5,1844-01
49,1844,FEB,-3.6,1844-02
50,1844,MAR,0.2,1844-03
51,1844,APR,9.3,1844-04
52,1844,MAY,13.2,1844-05
53,1844,JUN,16.1,1844-06
54,1844,JUL,19.5,1844-07
55,1844,AUG,18.4,1844-08
56,1844,SEP,15.4,1844-09
57,1844,OCT,6.6,1844-10
58,1844,NOV,1.9,1844-11
59,1844,DEC,-2.1,1844-12
60,1845,JAN,-3.2,1845-01
61,1845,FEB,-3.5,1845-02
62,1845,MAR,1.6,1845-03
63,1845,APR,5.8,1845-04
64,1845,MAY,10.3,1845-05
65,1845,JUN,15.9,1845-06
66,1845,JUL,19.2,1845-07
67,1845,AUG,19.4,1845-08
68,1845,SEP,12.8,1845-09
69,1845,OCT,7.5,1845-10
70,1845,NOV,2.6,1845-11
71,1845,DEC,-6.3,1845-12
72,1846,JAN,-3.8,1846-01
73,1846,FEB,-7.5,1846-02
74,1846,MAR,-0.3,1846-03
75,1846,APR,6.5,1846-04
76,1846,MAY,13.2,1846-05
77,1846,JUN,17.3,1846-06
78,1846,JUL,20.4,1846-07
79,1846,AUG,19.9,1846-08
80,1846,SEP,17.3,1846-09
81,1846,OCT,7.2,1846-10
82,1846,NOV,5.1,1846-11
83,1846,DEC,-2.8,1846-12
84,1847,JAN,-5.4,1847-01
85,1847,FEB,-5.7,1847-02
86,1847,MAR,-3.3,1847-03
87,1847,APR,3.3,1847-04
88,1847,MAY,11.5,1847-05
89,1847,JUN,14.5,1847-06
90,1847,JUL,19.9,1847-07
91,1847,AUG,17.8,1847-08
92,1847,SEP,13.0,1847-09
93,1847,OCT,6.9,1847-10
94,1847,NOV,3.5,1847-11
95,1847,DEC,-2.0,1847-12
96,1848,JAN,-2.7,1848-01
97,1848,FEB,-2.9,1848-02
98,1848,MAR,-2.2,1848-03
99,1848,APR,4.9,1848-04
100,1848,MAY,12.1,1848-05
101,1848,JUN,16.4,1848-06
102,1848,JUL,18.0,1848-07
103,1848,AUG,19.6,1848-08
104,1848,SEP,12.2,1848-09
105,1848,OCT,7.6,1848-10
106,1848,NOV,0.9,1848-11
107,1848,DEC,-1.5,1848-12
108,1849,JAN,-7.4,1849-01
109,1849,FEB,-7.6,1849-02
110,1849,MAR,0.4,1849-03
111,1849,APR,3.3,1849-04
112,1849,MAY,8.9,1849-05
113,1849,JUN,16.7,1849-06
114,1849,JUL,19.3,1849-07
115,1849,AUG,18.2,1849-08
116,1849,SEP,14.2,1849-09
117,1849,OCT,7.7,1849-10
118,1849,NOV,5.6,1849-11
119,1849,DEC,-3.6,1849-12
120,1850,JAN,-1.9,1850-01
121,1850,FEB,-4.0,1850-02
122,1850,MAR,-1.7,1850-03
123,1850,APR,3.3,1850-04
124,1850,MAY,9.8,1850-05
125,1850,JUN,17.3,1850-06
126,1850,JUL,20.8,1850-07
127,1850,AUG,19.0,1850-08
128,1850,SEP,12.8,1850-09
129,1850,OCT,6.5,1850-10
130,1850,NOV,2.9,1850-11
131,1850,DEC,-5.6,1850-12
132,1851,JAN,-4.5,1851-01
133,1851,FEB,-2.6,1851-02
134,1851,MAR,0.4,1851-03
135,1851,APR,5.0,1851-04
136,1851,MAY,10.7,1851-05
137,1851,JUN,15.1,1851-06
138,1851,JUL,18.4,1851-07
139,1851,AUG,17.3,1851-08
140,1851,SEP,14.9,1851-09
141,1851,OCT,8.6,1851-10
142,1851,NOV,-0.1,1851-11
143,1851,DEC,-6.3,1851-12
144,1852,JAN,-8.0,1852-01
145,1852,FEB,-5.3,1852-02
146,1852,MAR,-3.5,1852-03
147,1852,APR,3.1,1852-04
148,1852,MAY,10.6,1852-05
149,1852,JUN,15.8,1852-06
150,1852,JUL,18.8,1852-07
151,1852,AUG,18.2,1852-08
152,1852,SEP,13.4,1852-09
153,1852,OCT,8.8,1852-10
154,1852,NOV,1.6,1852-11
155,1852,DEC,-0.2,1852-12
156,1853,JAN,-5.6,1853-01
157,1853,FEB,-5.3,1853-02
158,1853,MAR,-1.5,1853-03
159,1853,APR,4.9,1853-04
160,1853,MAY,9.8,1853-05
161,1853,JUN,17.9,1853-06
162,1853,JUL,18.5,1853-07
163,1853,AUG,19.9,1853-08
164,1853,SEP,14.8,1853-09
165,1853,OCT,6.2,1853-10
166,1853,NOV,3.1,1853-11
167,1853,DEC,-4.3,1853-12
168,1854,JAN,-5.9,1854-01
169,1854,FEB,-7.0,1854-02
170,1854,MAR,-1.3,1854-03
171,1854,APR,4.1,1854-04
172,1854,MAY,10.0,1854-05
173,1854,JUN,16.8,1854-06
174,1854,JUL,22.0,1854-07
175,1854,AUG,20.0,1854-08
176,1854,SEP,16.1,1854-09
177,1854,OCT,10.1,1854-10
178,1854,NOV,1.8,1854-11
179,1854,DEC,-5.6,1854-12
180,1855,JAN,-3.9,1855-01
181,1855,FEB,-10.0,1855-02
182,1855,MAR,-2.2,1855-03
183,1855,APR,5.9,1855-04
184,1855,MAY,11.9,1855-05
185,1855,JUN,15.5,1855-06
186,1855,JUL,20.2,1855-07
187,1855,AUG,18.0,1855-08
188,1855,SEP,15.2,1855-09
189,1855,OCT,6.5,1855-10
190,1855,NOV,2.9,1855-11
191,1855,DEC,-3.4,1855-12
