Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1843,145.3,48.8,81.3,81.3,39.9,117.1,117.1,123.4,248.2,103.4,119.9,47.0
1846,74.9,117.1,55.9,36.6,111.5,49.3,73.7,45.5,117.1,32.8,114.6,52.8
1847,73.4,83.3,32.5,83.3,52.3,67.3,85.3,55.4,169.7,112.3,81.0,47.5
1848,74.9,47.2,80.5,13.7,63.5,47.2,48.5,22.4,79.2,39.9,55.4,112.0
1849,53.3,54.9,45.0,72.4,130.6,51.3,86.9,126.5,38.1,151.9,74.4,46.0
1850,45.2,90.4,47.5,122.9,14.0,85.6,134.4,111.0,44.5,53.1,75.2,79.8
1851,52.3,72.6,41.9,62.0,76.7,69.1,92.7,35.1,67.8,43.7,115.8,54.9
1852,85.9,57.4,128.0,74.7,29.0,80.8,102.4,69.3,92.7,134.6,50.5,152.7
1853,26.4,58.4,45.5,69.6,113.5,39.9,23.6,65.8,130.8,22.6,69.1,72.6
1854,51.6,83.3,69.1,75.7,118.9,37.8,122.9,11.9,137.4,39.4,33.8,62.7
1855,72.6,100.3,84.1,56.4,67.6,104.6,83.6,37.6,143.0,67.6,124.5,122.4
1856,34.5,24.6,41.1,71.9,117.3,82.3,29.2,42.9,105.2,23.1,59.9,87.1
1857,55.4,107.7,37.3,77.7,106.2,129.8,88.9,134.4,67.6,27.4,100.6,104.9
1858,39.9,67.8,24.1,42.9,162.1,75.4,78.5,99.3,19.1,46.2,109.0,68.8
1859,78.7,33.0,106.4,67.8,87.6,104.4,66.5,101.9,90.4,24.1,133.9,121.4
1860,40.9,82.0,29.0,33.5,47.0,54.9,110.7,87.1,50.0,41.9,70.4,69.1
1861,69.9,96.3,72.4,59.7,87.6,59.2,67.6,76.2,92.2,51.3,117.9,31.5
1862,72.6,63.5,112.3,57.9,36.8,26.2,136.4,88.6,60.2,70.4,69.9,75.9
1863,81.3,93.0,46.5,60.7,86.1,43.2,87.6,56.6,31.8,64.5,93.5,93.5
1864,96.5,34.3,51.1,101.9,104.1,14.7,34.3,129.3,64.3,85.1,108.0,121.2
1865,48.8,63.5,125.7,106.2,102.4,51.1,63.0,51.1,62.7,81.0,27.7,57.4
1866,39.9,64.0,67.3,42.7,72.4,69.3,137.9,114.3,144.0,63.2,81.3,110.5
1867,106.7,68.1,100.8,73.4,82.6,22.6,50.3,62.2,31.2,50.8,49.3,70.6
1868,37.1,84.3,78.5,39.1,195.1,56.6,13.2,39.9,108.5,40.1,142.2,39.6
1869,47.8,105.2,63.2,76.7,71.4,112.0,117.3,109.0,102.4,30.5,90.7,84.1
1870,141.0,64.3,177.8,54.9,29.2,205.5,48.3,87.4,173.0,68.8,22.9,102.1
1871,132.6,59.4,103.6,87.9,58.4,85.1,32.3,71.1,33.0,30.5,79.0,59.9
1872,15.5,27.4,59.2,25.1,49.3,80.0,58.4,61.2,64.3,83.6,14.2,106.4
1873,127.8,26.4,108.7,101.1,56.1,17.5,49.0,49.0,76.7,55.4,62.7,74.2
1874,102.6,77.7,41.9,59.4,38.1,45.7,85.1,9.7,39.4,36.1,53.6,29.5
1875,82.0,35.1,99.8,38.1,83.8,46.5,46.0,47.8,71.6,71.1,45.2,89.2
1876,57.9,109.5,143.8,46.7,82.0,40.4,83.6,0.0,62.7,36.8,67.6,92.7
1877,34.8,7.4,110.7,57.9,34.5,22.9,69.3,80.5,10.7,67.1,142.7,13.5
1878,80.3,76.7,88.6,66.5,66.0,48.5,143.3,180.1,195.6,83.6,100.1,103.9
1879,30.5,50.5,46.2,22.4,32.3,114.3,66.3,55.1,75.7,28.4,111.8,113.0
1880,46.0,52.1,55.6,88.1,102.4,90.4,89.7,111.5,76.5,89.9,67.3,28.4
1881,54.1,62.0,93.2,2.5,56.6,65.3,47.0,38.6,23.1,97.5,83.1,63.2
1882,51.1,43.7,54.1,26.2,91.2,67.1,27.2,64.0,53.1,29.2,54.6,70.9
1883,62.2,72.4,59.9,64.5,109.2,126.5,141.7,46.5,60.5,24.6,62.7,37.1
1884,83.8,71.4,64.8,24.4,57.9,56.1,53.8,54.1,81.3,38.1,58.7,82.8
1885,71.1,46.2,31.0,77.5,57.4,106.7,53.6,99.8,92.2,97.0,54.6,50.3
1886,140.2,78.2,76.5,75.2,62.0,48.8,62.7,66.8,97.5,66.3,67.3,51.1
1887,81.5,109.0,38.4,41.1,20.6,67.6,16.8,50.8,30.7,41.4,71.4,86.6
1888,49.0,42.7,71.4,35.1,21.8,101.3,21.8,73.9,83.8,68.1,78.7,21.1
1889,88.4,60.5,25.1,40.4,80.3,90.7,83.1,10.9,52.8,48.0,90.7,124.5
1890,85.6,88.4,37.6,53.8,66.5,124.2,104.6,77.0,47.0,125.7,91.4,49.3
1891,79.5,67.6,77.0,58.7,13.5,77.5,55.1,122.9,43.4,43.4,90.4,73.4
1892,39.4,57.7,19.6,32.0,88.6,147.6,63.8,101.6,79.2,34.8,55.4,31.5
1893,75.9,92.2,51.8,124.7,98.0,46.5,57.7,146.3,32.0,91.7,75.9,117.1
1894,42.4,57.2,34.0,34.0,238.5,27.7,40.9,9.7,139.2,60.2,15.5,53.8
1895,118.1,10.2,23.6,38.6,58.7,19.1,63.8,76.7,62.5,26.4,108.5,107.2
1896,99.8,100.3,63.5,19.6,62.2,28.2,55.6,29.0,129.5,55.1,75.2,24.1
1897,48.8,59.4,75.4,54.6,76.7,74.9,133.4,57.7,10.2,36.8,106.4,93.0
1898,92.7,77.7,61.2,43.2,58.7,49.5,17.8,27.4,70.9,146.6,76.7,64.8
1899,72.9,43.9,108.7,41.1,83.6,17.0,25.9,6.9,131.1,115.8,25.9,64.5
1900,49.3,132.3,87.6,46.5,25.4,61.7,69.6,69.9,36.6,54.1,99.6,21.1
1901,62.7,36.6,69.9,100.8,88.6,52.6,85.9,98.6,77.5,14.7,41.9,91.7
1902,66.0,38.1,64.0,55.1,48.3,90.7,110.7,60.5,85.3,70.9,43.2,56.4
1903,68.8,71.4,46.5,95.5,45.7,84.6,110.5,93.2,10.4,70.6,32.3,50.8
1904,60.7,76.2,74.2,79.0,96.5,70.4,130.3,116.1,101.3,63.0,2.8,36.8
1905,83.3,36.3,13.0,36.3,82.0,81.0,119.9,107.2,43.9,88.6,45.2,57.9
1906,44.5,20.3,64.8,40.9,63.8,98.3,86.6,46.5,93.2,114.3,42.9,71.6
1907,104.6,21.8,54.1,53.1,49.0,53.8,51.6,27.7,121.9,50.3,89.4,127.3
