,Year,Month,Mean Temp (°C),Date/Time
0,1986,JAN,,1986-01
1,1986,FEB,,1986-02
2,1986,MAR,,1986-03
3,1986,APR,,1986-04
4,1986,MAY,,1986-05
5,1986,JUN,16.5,1986-06
6,1986,JUL,20.6,1986-07
7,1986,AUG,17.9,1986-08
8,1986,SEP,14.2,1986-09
9,1986,OCT,8.0,1986-10
10,1986,NOV,0.9,1986-11
11,1986,DEC,-1.8,1986-12
12,1987,JAN,-5.6,1987-01
13,1987,FEB,-7.0,1987-02
14,1987,MAR,1.4,1987-03
15,1987,APR,8.6,1987-04
16,1987,MAY,14.2,1987-05
17,1987,JUN,18.7,1987-06
18,1987,JUL,22.0,1987-07
19,1987,AUG,18.9,1987-08
20,1987,SEP,14.8,1987-09
21,1987,OCT,6.2,1987-10
22,1987,NOV,2.1,1987-11
23,1987,DEC,-1.2,1987-12
24,1988,JAN,-5.8,1988-01
25,1988,FEB,-7.9,1988-02
26,1988,MAR,-1.7,1988-03
27,1988,APR,5.6,1988-04
28,1988,MAY,13.7,1988-05
29,1988,JUN,17.4,1988-06
30,1988,JUL,22.4,1988-07
31,1988,AUG,20.5,1988-08
32,1988,SEP,14.3,1988-09
33,1988,OCT,6.2,1988-10
34,1988,NOV,3.9,1988-11
35,1988,DEC,-3.9,1988-12
36,1989,JAN,-3.5,1989-01
37,1989,FEB,-7.4,1989-02
38,1989,MAR,-2.8,1989-03
39,1989,APR,4.0,1989-04
40,1989,MAY,12.6,1989-05
41,1989,JUN,18.2,1989-06
42,1989,JUL,21.4,1989-07
43,1989,AUG,18.9,1989-08
44,1989,SEP,14.7,1989-09
45,1989,OCT,9.0,1989-10
46,1989,NOV,1.1,1989-11
47,1989,DEC,-11.0,1989-12
48,1990,JAN,-1.9,1990-01
49,1990,FEB,-4.3,1990-02
50,1990,MAR,0.3,1990-03
51,1990,APR,8.0,1990-04
52,1990,MAY,11.5,1990-05
53,1990,JUN,18.5,1990-06
54,1990,JUL,20.8,1990-07
55,1990,AUG,20.2,1990-08
56,1990,SEP,14.9,1990-09
57,1990,OCT,8.9,1990-10
58,1990,NOV,3.9,1990-11
59,1990,DEC,-1.8,1990-12
60,1991,JAN,-6.7,1991-01
61,1991,FEB,-3.2,1991-02
62,1991,MAR,1.0,1991-03
63,1991,APR,8.3,1991-04
64,1991,MAY,16.1,1991-05
65,1991,JUN,20.1,1991-06
66,1991,JUL,21.7,1991-07
67,1991,AUG,21.3,1991-08
68,1991,SEP,14.6,1991-09
69,1991,OCT,9.8,1991-10
70,1991,NOV,2.0,1991-11
71,1991,DEC,-3.2,1991-12
72,1992,JAN,-5.1,1992-01
73,1992,FEB,-5.1,1992-02
74,1992,MAR,-1.7,1992-03
75,1992,APR,5.1,1992-04
76,1992,MAY,12.2,1992-05
77,1992,JUN,16.4,1992-06
78,1992,JUL,17.7,1992-07
79,1992,AUG,17.7,1992-08
80,1992,SEP,14.6,1992-09
81,1992,OCT,6.9,1992-10
82,1992,NOV,2.4,1992-11
83,1992,DEC,-2.5,1992-12
84,1993,JAN,-4.3,1993-01
85,1993,FEB,-9.5,1993-02
86,1993,MAR,-2.5,1993-03
87,1993,APR,6.3,1993-04
88,1993,MAY,12.3,1993-05
89,1993,JUN,17.3,1993-06
90,1993,JUL,21.4,1993-07
91,1993,AUG,21.1,1993-08
92,1993,SEP,13.6,1993-09
93,1993,OCT,7.3,1993-10
94,1993,NOV,2.3,1993-11
95,1993,DEC,-3.5,1993-12
96,1994,JAN,-13.5,1994-01
97,1994,FEB,-9.3,1994-02
98,1994,MAR,-1.1,1994-03
99,1994,APR,6.8,1994-04
100,1994,MAY,11.5,1994-05
101,1994,JUN,19.1,1994-06
102,1994,JUL,21.2,1994-07
103,1994,AUG,18.6,1994-08
104,1994,SEP,15.8,1994-09
105,1994,OCT,9.3,1994-10
106,1994,NOV,4.8,1994-11
107,1994,DEC,-1.1,1994-12
108,1995,JAN,-4.0,1995-01
109,1995,FEB,-8.4,1995-02
110,1995,MAR,1.4,1995-03
111,1995,APR,3.7,1995-04
112,1995,MAY,13.0,1995-05
113,1995,JUN,19.8,1995-06
114,1995,JUL,21.3,1995-07
115,1995,AUG,21.5,1995-08
116,1995,SEP,13.6,1995-09
117,1995,OCT,10.1,1995-10
118,1995,NOV,0.4,1995-11
119,1995,DEC,-6.0,1995-12
120,1996,JAN,-7.4,1996-01
121,1996,FEB,-6.7,1996-02
122,1996,MAR,-3.4,1996-03
123,1996,APR,3.5,1996-04
124,1996,MAY,11.4,1996-05
125,1996,JUN,18.6,1996-06
126,1996,JUL,19.6,1996-07
127,1996,AUG,20.4,1996-08
128,1996,SEP,16.3,1996-09
129,1996,OCT,8.6,1996-10
130,1996,NOV,0.5,1996-11
131,1996,DEC,-0.7,1996-12
132,1997,JAN,-6.8,1997-01
133,1997,FEB,-4.3,1997-02
134,1997,MAR,-2.1,1997-03
135,1997,APR,5.7,1997-04
136,1997,MAY,8.9,1997-05
137,1997,JUN,19.5,1997-06
138,1997,JUL,20.1,1997-07
139,1997,AUG,18.2,1997-08
140,1997,SEP,15.3,1997-09
141,1997,OCT,8.5,1997-10
142,1997,NOV,1.6,1997-11
143,1997,DEC,-1.9,1997-12
144,1998,JAN,-3.4,1998-01
145,1998,FEB,-1.3,1998-02
146,1998,MAR,1.2,1998-03
147,1998,APR,7.9,1998-04
148,1998,MAY,16.8,1998-05
149,1998,JUN,18.7,1998-06
150,1998,JUL,21.3,1998-07
151,1998,AUG,21.3,1998-08
152,1998,SEP,17.5,1998-09
153,1998,OCT,10.0,1998-10
154,1998,NOV,4.1,1998-11
155,1998,DEC,-0.2,1998-12
156,1999,JAN,-7.4,1999-01
157,1999,FEB,-2.6,1999-02
158,1999,MAR,-0.4,1999-03
159,1999,APR,7.8,1999-04
160,1999,MAY,15.0,1999-05
161,1999,JUN,19.5,1999-06
162,1999,JUL,22.9,1999-07
163,1999,AUG,19.2,1999-08
164,1999,SEP,16.7,1999-09
165,1999,OCT,9.3,1999-10
166,1999,NOV,4.6,1999-11
167,1999,DEC,-2.0,1999-12
168,2000,JAN,-6.9,2000-01
169,2000,FEB,-4.0,2000-02
170,2000,MAR,3.3,2000-03
171,2000,APR,5.9,2000-04
172,2000,MAY,13.5,2000-05
173,2000,JUN,17.2,2000-06
174,2000,JUL,19.5,2000-07
175,2000,AUG,19.4,2000-08
176,2000,SEP,14.7,2000-09
177,2000,OCT,9.8,2000-10
178,2000,NOV,2.6,2000-11
179,2000,DEC,-8.2,2000-12
180,2001,JAN,-5.3,2001-01
181,2001,FEB,-4.6,2001-02
182,2001,MAR,-1.4,2001-03
183,2001,APR,7.6,2001-04
184,2001,MAY,14.2,2001-05
185,2001,JUN,19.3,2001-06
186,2001,JUL,20.0,2001-07
187,2001,AUG,22.4,2001-08
188,2001,SEP,15.8,2001-09
189,2001,OCT,9.8,2001-10
190,2001,NOV,6.3,2001-11
191,2001,DEC,0.9,2001-12
192,2002,JAN,-1.0,2002-01
193,2002,FEB,-2.5,2002-02
194,2002,MAR,-0.2,2002-03
195,2002,APR,6.7,2002-04
196,2002,MAY,10.7,2002-05
197,2002,JUN,18.8,2002-06
198,2002,JUL,23.4,2002-07
199,2002,AUG,21.2,2002-08
200,2002,SEP,19.0,2002-09
201,2002,OCT,8.1,2002-10
202,2002,NOV,2.4,2002-11
203,2002,DEC,-2.8,2002-12
204,2003,JAN,-9.4,2003-01
205,2003,FEB,-8.2,2003-02
206,2003,MAR,-1.8,2003-03
207,2003,APR,5.0,2003-04
208,2003,MAY,12.1,2003-05
209,2003,JUN,18.4,2003-06
210,2003,JUL,21.2,2003-07
211,2003,AUG,21.6,2003-08
212,2003,SEP,16.1,2003-09
213,2003,OCT,8.4,2003-10
214,2003,NOV,4.1,2003-11
215,2003,DEC,-0.7,2003-12
216,2004,JAN,-10.5,2004-01
217,2004,FEB,-4.8,2004-02
218,2004,MAR,1.8,2004-03
219,2004,APR,6.3,2004-04
220,2004,MAY,12.8,2004-05
221,2004,JUN,17.0,2004-06
222,2004,JUL,20.3,2004-07
223,2004,AUG,18.8,2004-08
224,2004,SEP,17.6,2004-09
225,2004,OCT,9.9,2004-10
226,2004,NOV,4.3,2004-11
227,2004,DEC,-3.7,2004-12
228,2005,JAN,-7.9,2005-01
229,2005,FEB,-4.9,2005-02
230,2005,MAR,-2.1,2005-03
231,2005,APR,7.3,2005-04
232,2005,MAY,11.4,2005-05
233,2005,JUN,21.9,2005-06
234,2005,JUL,23.4,2005-07
235,2005,AUG,21.9,2005-08
236,2005,SEP,18.1,2005-09
237,2005,OCT,10.5,2005-10
238,2005,NOV,4.4,2005-11
239,2005,DEC,-4.1,2005-12
240,2006,JAN,-1.0,2006-01
241,2006,FEB,-4.8,2006-02
242,2006,MAR,0.5,2006-03
243,2006,APR,7.9,2006-04
244,2006,MAY,13.7,2006-05
245,2006,JUN,19.2,2006-06
246,2006,JUL,22.9,2006-07
247,2006,AUG,20.7,2006-08
248,2006,SEP,15.1,2006-09
249,2006,OCT,8.3,2006-10
250,2006,NOV,4.9,2006-11
251,2006,DEC,1.3,2006-12
252,2007,JAN,-3.7,2007-01
253,2007,FEB,-8.8,2007-02
254,2007,MAR,-0.4,2007-03
255,2007,APR,5.8,2007-04
256,2007,MAY,14.0,2007-05
257,2007,JUN,20.0,2007-06
258,2007,JUL,20.7,2007-07
259,2007,AUG,21.6,2007-08
260,2007,SEP,17.3,2007-09
261,2007,OCT,13.0,2007-10
262,2007,NOV,2.0,2007-11
263,2007,DEC,-3.6,2007-12
264,2008,JAN,-2.9,2008-01
265,2008,FEB,-5.8,2008-02
266,2008,MAR,-2.7,2008-03
267,2008,APR,9.0,2008-04
268,2008,MAY,11.6,2008-05
269,2008,JUN,19.4,2008-06
270,2008,JUL,21.4,2008-07
271,2008,AUG,19.5,2008-08
272,2008,SEP,16.2,2008-09
273,2008,OCT,8.3,2008-10
274,2008,NOV,2.3,2008-11
275,2008,DEC,-3.7,2008-12
276,2009,JAN,-10.0,2009-01
277,2009,FEB,-4.3,2009-02
278,2009,MAR,0.3,2009-03
279,2009,APR,7.3,2009-04
280,2009,MAY,12.8,2009-05
281,2009,JUN,17.2,2009-06
282,2009,JUL,18.8,2009-07
283,2009,AUG,20.2,2009-08
284,2009,SEP,16.1,2009-09
285,2009,OCT,8.0,2009-10
286,2009,NOV,5.3,2009-11
287,2009,DEC,-3.1,2009-12
288,2010,JAN,-6.1,2010-01
289,2010,FEB,-4.1,2010-02
290,2010,MAR,4.2,2010-03
291,2010,APR,10.3,2010-04
292,2010,MAY,15.7,2010-05
293,2010,JUN,18.8,2010-06
294,2010,JUL,23.0,2010-07
295,2010,AUG,21.5,2010-08
296,2010,SEP,15.6,2010-09
297,2010,OCT,9.6,2010-10
298,2010,NOV,3.9,2010-11
299,2010,DEC,-4.7,2010-12
300,2011,JAN,-7.8,2011-01
