,Year,Month,Mean Temp (°C),Date/Time
0,1937,JAN,,1937-01
1,1937,FEB,,1937-02
2,1937,MAR,,1937-03
3,1937,APR,,1937-04
4,1937,MAY,,1937-05
5,1937,JUN,,1937-06
6,1937,JUL,,1937-07
7,1937,AUG,,1937-08
8,1937,SEP,,1937-09
9,1937,OCT,,1937-10
10,1937,NOV,3.3,1937-11
11,1937,DEC,-4.4,1937-12
12,1938,JAN,-7.2,1938-01
13,1938,FEB,-3.7,1938-02
14,1938,MAR,1.4,1938-03
15,1938,APR,7.6,1938-04
16,1938,MAY,12.1,1938-05
17,1938,JUN,17.3,1938-06
18,1938,JUL,21.8,1938-07
19,1938,AUG,22.7,1938-08
20,1938,SEP,14.2,1938-09
21,1938,OCT,9.9,1938-10
22,1938,NOV,3.2,1938-11
23,1938,DEC,-2.5,1938-12
24,1939,JAN,-6.7,1939-01
25,1939,FEB,-5.8,1939-02
26,1939,MAR,-3.6,1939-03
27,1939,APR,4.1,1939-04
28,1939,MAY,13.9,1939-05
29,1939,JUN,18.0,1939-06
30,1939,JUL,20.9,1939-07
31,1939,AUG,21.7,1939-08
32,1939,SEP,,1939-09
33,1939,OCT,,1939-10
34,1939,NOV,,1939-11
35,1939,DEC,,1939-12
36,1940,JAN,-9.4,1940-01
37,1940,FEB,-6.2,1940-02
38,1940,MAR,-5.2,1940-03
39,1940,APR,4.1,1940-04
40,1940,MAY,11.7,1940-05
41,1940,JUN,16.6,1940-06
42,1940,JUL,20.5,1940-07
43,1940,AUG,19.4,1940-08
44,1940,SEP,15.1,1940-09
45,1940,OCT,7.4,1940-10
46,1940,NOV,2.2,1940-11
47,1940,DEC,-3.6,1940-12
48,1941,JAN,-6.9,1941-01
49,1941,FEB,-6.2,1941-02
50,1941,MAR,-3.8,1941-03
51,1941,APR,9.2,1941-04
52,1941,MAY,13.9,1941-05
53,1941,JUN,19.3,1941-06
54,1941,JUL,21.5,1941-07
55,1941,AUG,19.5,1941-08
56,1941,SEP,16.8,1941-09
57,1941,OCT,10.0,1941-10
58,1941,NOV,4.7,1941-11
59,1941,DEC,-1.5,1941-12
60,1942,JAN,-5.5,1942-01
61,1942,FEB,-7.7,1942-02
62,1942,MAR,1.4,1942-03
63,1942,APR,8.9,1942-04
64,1942,MAY,12.9,1942-05
65,1942,JUN,17.8,1942-06
66,1942,JUL,20.2,1942-07
67,1942,AUG,19.7,1942-08
68,1942,SEP,15.1,1942-09
69,1942,OCT,9.5,1942-10
70,1942,NOV,2.8,1942-11
71,1942,DEC,-5.6,1942-12
72,1943,JAN,-9.1,1943-01
73,1943,FEB,-5.2,1943-02
74,1943,MAR,-3.1,1943-03
75,1943,APR,2.8,1943-04
76,1943,MAY,12.1,1943-05
77,1943,JUN,20.1,1943-06
78,1943,JUL,21.0,1943-07
79,1943,AUG,19.9,1943-08
80,1943,SEP,14.5,1943-09
81,1943,OCT,8.3,1943-10
82,1943,NOV,1.9,1943-11
83,1943,DEC,-4.8,1943-12
84,1944,JAN,-2.7,1944-01
85,1944,FEB,-6.0,1944-02
86,1944,MAR,-3.6,1944-03
87,1944,APR,4.3,1944-04
88,1944,MAY,15.2,1944-05
89,1944,JUN,18.6,1944-06
90,1944,JUL,21.0,1944-07
91,1944,AUG,21.3,1944-08
92,1944,SEP,15.8,1944-09
93,1944,OCT,8.9,1944-10
94,1944,NOV,3.3,1944-11
95,1944,DEC,-5.7,1944-12
96,1945,JAN,-11.9,1945-01
97,1945,FEB,-6.0,1945-02
98,1945,MAR,5.1,1945-03
99,1945,APR,7.7,1945-04
100,1945,MAY,9.4,1945-05
101,1945,JUN,16.7,1945-06
102,1945,JUL,19.7,1945-07
103,1945,AUG,19.9,1945-08
104,1945,SEP,15.9,1945-09
105,1945,OCT,8.4,1945-10
106,1945,NOV,3.3,1945-11
107,1945,DEC,-6.1,1945-12
108,1946,JAN,-5.3,1946-01
109,1946,FEB,-6.9,1946-02
110,1946,MAR,5.2,1946-03
111,1946,APR,6.0,1946-04
112,1946,MAY,11.6,1946-05
113,1946,JUN,17.1,1946-06
114,1946,JUL,20.4,1946-07
115,1946,AUG,18.2,1946-08
116,1946,SEP,16.3,1946-09
117,1946,OCT,11.7,1946-10
118,1946,NOV,4.7,1946-11
119,1946,DEC,-2.6,1946-12
120,1947,JAN,-4.6,1947-01
121,1947,FEB,-7.2,1947-02
122,1947,MAR,-2.2,1947-03
123,1947,APR,5.1,1947-04
124,1947,MAY,10.7,1947-05
125,1947,JUN,17.4,1947-06
126,1947,JUL,20.3,1947-07
127,1947,AUG,22.5,1947-08
128,1947,SEP,16.4,1947-09
129,1947,OCT,13.5,1947-10
130,1947,NOV,2.1,1947-11
131,1947,DEC,-4.6,1947-12
132,1948,JAN,-9.7,1948-01
133,1948,FEB,-7.8,1948-02
134,1948,MAR,-2.1,1948-03
135,1948,APR,7.6,1948-04
136,1948,MAY,11.2,1948-05
137,1948,JUN,17.9,1948-06
138,1948,JUL,21.0,1948-07
139,1948,AUG,20.9,1948-08
140,1948,SEP,17.9,1948-09
141,1948,OCT,8.4,1948-10
142,1948,NOV,6.3,1948-11
143,1948,DEC,-1.7,1948-12
144,1949,JAN,-2.9,1949-01
145,1949,FEB,-3.6,1949-02
146,1949,MAR,-1.7,1949-03
147,1949,APR,6.7,1949-04
148,1949,MAY,13.9,1949-05
149,1949,JUN,21.7,1949-06
150,1949,JUL,22.6,1949-07
151,1949,AUG,22.0,1949-08
152,1949,SEP,14.3,1949-09
153,1949,OCT,11.8,1949-10
154,1949,NOV,1.5,1949-11
155,1949,DEC,-1.5,1949-12
156,1950,JAN,-1.8,1950-01
157,1950,FEB,-6.6,1950-02
158,1950,MAR,-4.2,1950-03
159,1950,APR,3.4,1950-04
160,1950,MAY,12.3,1950-05
