Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1938,40.4,76.5,41.7,33.3,72.4,42.2,63.2,37.1,102.1,7.1,33.0,27.4
1940,48.3,34.0,48.3,50.8,123.4,86.1,70.9,84.1,102.4,45.5,114.3,82.6
1941,71.1,31.0,36.8,45.0,53.8,75.7,68.1,39.4,25.1,89.2,52.6,41.1
1942,37.1,41.1,117.1,43.4,208.5,32.8,110.0,28.7,99.8,56.4,78.0,110.0
1943,70.9,48.8,85.3,56.6,104.4,45.2,86.6,49.3,35.1,73.4,40.6,15.5
1944,20.1,63.2,81.5,82.8,137.9,102.4,90.2,54.9,64.0,17.5,42.7,70.6
1945,40.1,47.8,114.0,83.1,145.0,81.3,118.1,49.0,128.8,57.2,54.6,41.7
1946,97.5,57.9,28.4,17.0,95.5,43.7,79.2,37.8,73.7,81.0,44.5,50.3
1947,98.3,27.2,46.7,74.9,84.8,117.1,103.1,61.0,37.6,34.3,29.7,44.2
1948,40.1,67.1,57.9,52.6,62.7,80.5,51.3,48.5,154.4,58.4,81.0,47.8
1949,69.3,75.9,63.0,31.2,9.4,4.1,61.5,133.9,90.2,67.8,48.0,84.8
1950,96.5,72.1,63.2,61.7,20.1,64.0,116.3,85.1,22.1,78.0,90.4,27.7
1951,60.5,44.2,97.5,108.7,36.8,88.4,90.4,52.3,41.7,60.5,70.6,99.6
1952,67.3,40.9,66.5,58.4,72.6,29.0,68.8,61.0,60.2,17.3,90.7,40.1
1953,43.2,36.1,67.1,62.0,136.1,69.6,71.9,102.9,72.9,19.3,41.9,47.5
1954,52.3,59.9,77.0,91.4,19.3,116.1,18.3,91.2,80.5,213.9,37.3,57.2
1955,37.1,38.6,70.6,63.2,59.7,24.6,34.8,104.4,30.7,77.0,52.1,53.3
1956,42.9,46.5,76.7,69.3,114.0,38.9,108.0,124.7,40.1,22.9,27.4,66.5
1957,55.9,58.2,27.9,86.9,72.1,91.9,11.4,61.0,96.8,44.7,46.0,68.8
1958,25.1,36.8,24.9,35.8,23.9,26.7,58.4,69.1,78.5,31.2,71.1,25.4
1959,65.5,74.2,59.9,61.0,41.4,22.4,27.7,38.6,69.3,79.5,56.1,80.5
1960,68.1,64.8,38.9,64.5,116.8,55.6,103.9,39.6,6.4,57.9,57.2,17.0
1961,10.9,59.2,77.0,98.3,64.0,82.8,80.5,56.1,42.4,14.7,51.6,46.2
1962,67.6,86.1,11.9,34.5,11.7,65.3,90.7,76.2,131.8,98.0,96.8,59.9
1963,25.9,13.5,59.7,54.1,72.6,42.7,73.7,57.7,48.0,9.1,65.5,42.9
1964,58.7,28.7,87.1,73.9,41.4,38.1,101.6,147.6,14.0,46.2,32.8,52.6
1965,70.1,107.2,45.0,75.2,46.5,40.1,63.5,74.9,66.5,104.6,81.0,63.8
1966,60.7,30.5,55.6,52.8,47.2,72.6,15.0,70.4,55.1,24.4,142.7,84.8
1967,55.4,42.4,21.1,99.1,49.0,150.9,65.0,45.7,68.1,75.2,39.4,69.6
1968,82.0,37.8,57.4,30.2,101.3,57.9,58.2,163.6,88.1,41.1,93.2,80.0
1969,50.3,15.7,35.6,89.9,75.4,38.9,107.4,56.6,15.0,49.0,71.1,61.2
1970,25.7,29.7,43.7,81.3,56.6,38.1,113.5,113.3,61.7,63.8,45.0,80.5
1971,29.2,71.1,33.5,24.9,34.8,77.0,78.5,126.0,32.5,37.6,35.1,92.7
1972,37.8,59.7,96.8,52.8,35.3,113.0,34.5,74.9,84.1,98.8,72.1,95.0
1973,34.3,36.3,121.2,62.2,87.9,67.8,62.5,29.2,53.3,124.7,93.0,76.5
1974,66.8,45.2,56.9,92.2,140.0,127.3,58.7,14.5,46.5,24.1,74.7,45.5
1975,51.6,72.4,63.8,69.6,64.3,62.5,51.3,109.0,65.3,54.9,54.9,69.9
1976,52.3,59.2,116.3,72.1,114.6,83.3,81.8,64.8,69.9,64.5,11.7,36.1
1977,36.9,26.3,71.9,70.3,28.3,104.0,118.5,103.3,154.2,69.4,85.9,102.3
1978,69.2,9.1,39.8,63.9,68.2,25.2,42.5,63.6,134.3,56.2,52.9,61.1
1979,69.6,33.5,48.1,88.6,99.2,71.8,68.0,74.2,44.5,84.2,96.5,101.0
1980,37.8,16.1,82.8,111.9,48.7,89.2,182.3,37.3,53.1,88.7,35.3,64.7
1981,11.9,66.2,17.8,49.7,58.1,61.5,66.6,128.5,103.3,134.9,57.8,34.0
1982,54.3,28.3,64.8,43.1,45.1,112.5,31.1,120.1,128.9,43.5,94.8,80.9
1983,33.7,40.6,77.3,83.2,99.5,33.0,18.3,112.2,54.9,71.8,89.1,82.0
1984,30.2,59.0,59.5,58.7,102.8,48.1,63.3,63.8,74.7,26.1,69.9,61.3
1985,76.6,83.1,78.6,33.1,75.9,37.3,91.5,152.5,57.6,52.3,161.8,35.9
1986,26.5,32.0,48.8,54.0,75.2,67.4,122.3,146.2,212.3,54.8,44.4,67.3
1987,56.6,14.8,44.2,49.8,29.6,68.3,108.1,52.3,108.0,48.1,83.4,47.4
1988,21.5,64.6,23.6,55.2,39.6,25.0,109.7,37.2,70.6,67.4,58.1,31.5
1989,25.9,19.0,37.1,41.1,79.2,94.7,70.4,39.6,44.1,76.2,78.5,23.8
1990,36.7,76.9,28.7,53.0,86.6,69.4,68.4,112.6,42.8,87.8,39.6,112.8
1991,33.6,23.5,98.1,115.4,83.6,24.4,91.0,91.4,52.1,46.3,56.3,44.7
1992,37.2,35.0,21.7,133.8,69.7,37.2,134.5,154.4,98.4,66.0,107.2,56.3
1993,70.6,26.6,31.0,85.4,51.6,133.8,87.7,39.9,59.2,71.0,65.2,28.8
1994,61.0,20.2,51.2,96.0,78.8,54.4,83.0,60.1,51.4,27.4,84.9,51.4
1995,133.3,20.8,50.8,76.6,87.0,52.1,55.4,135.4,27.5,131.8,121.6,35.8
1996,72.6,38.2,36.2,101.6,90.6,118.0,97.4,48.2,166.2,75.8,29.8,95.2
1997,64.6,78.6,69.8,29.2,65.4,50.8,30.0,71.8,48.0,35.2,55.0,30.2
