Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1938,-7.2,-3.7,1.4,7.6,12.1,17.3,21.8,22.7,14.2,9.9,3.2,-2.5
1940,-9.4,-6.2,-5.2,4.1,11.7,16.6,20.5,19.4,15.1,7.4,2.2,-3.6
1941,-6.9,-6.2,-3.8,9.2,13.9,19.3,21.5,19.5,16.8,10.0,4.7,-1.5
1942,-5.5,-7.7,1.4,8.9,12.9,17.8,20.2,19.7,15.1,9.5,2.8,-5.6
1943,-9.1,-5.2,-3.1,2.8,12.1,20.1,21.0,19.9,14.5,8.3,1.9,-4.8
1944,-2.7,-6.0,-3.6,4.3,15.2,18.6,21.0,21.3,15.8,8.9,3.3,-5.7
1945,-11.9,-6.0,5.1,7.7,9.4,16.7,19.7,19.9,15.9,8.4,3.3,-6.1
1946,-5.3,-6.9,5.2,6.0,11.6,17.1,20.4,18.2,16.3,11.7,4.7,-2.6
1947,-4.6,-7.2,-2.2,5.1,10.7,17.4,20.3,22.5,16.4,13.5,2.1,-4.6
1948,-9.7,-7.8,-2.1,7.6,11.2,17.9,21.0,20.9,17.9,8.4,6.3,-1.7
1949,-2.9,-3.6,-1.7,6.7,13.9,21.7,22.6,22.0,14.3,11.8,1.5,-1.5
1950,-1.8,-6.6,-4.2,3.4,12.3,17.7,19.9,19.2,14.2,11.1,2.2,-3.5
1951,-4.3,-4.4,0.3,6.3,13.7,17.7,21.0,19.5,15.5,9.9,0.2,-3.5
1952,-4.7,-3.7,-1.1,8.4,11.5,19.1,22.8,19.8,17.1,6.9,4.6,-0.2
1953,-2.9,-2.4,1.2,5.7,13.0,18.5,21.2,20.6,16.0,10.5,5.4,-0.6
1954,-8.0,-1.9,-1.2,7.0,11.3,19.3,20.1,19.2,15.5,11.0,4.0,-3.4
1955,-5.8,-5.3,-1.1,9.5,14.6,19.0,24.2,23.0,15.8,11.0,2.4,-5.5
1956,-5.7,-4.5,-2.5,4.4,10.1,18.2,19.4,19.5,13.1,10.5,3.9,-1.2
1957,-8.5,-4.0,0.8,7.7,11.8,19.2,21.1,19.2,15.9,8.9,4.1,-0.2
1958,-5.1,-7.7,1.4,8.1,12.0,16.1,21.2,20.2,16.6,9.7,4.1,-7.0
1959,-7.2,-7.6,-2.0,7.1,14.2,19.9,22.3,23.8,18.7,9.7,2.1,-1.4
1960,-5.1,-4.4,-6.0,7.5,13.6,18.2,20.3,20.4,17.6,9.9,5.5,-5.4
1961,-8.1,-3.0,0.1,4.6,11.7,18.0,21.1,20.6,19.3,12.0,3.2,-2.5
1962,-7.3,-8.1,-0.4,6.9,15.9,18.7,19.8,20.5,14.5,10.3,2.4,-4.5
1963,-8.6,-9.4,0.8,6.9,12.0,19.2,21.4,18.9,14.0,13.6,6.2,-7.5
1964,-4.0,-6.1,-0.8,5.8,13.8,16.7,21.1,16.8,14.2,7.6,3.8,-3.3
1965,-6.9,-5.9,-3.5,3.4,13.3,16.5,17.3,18.1,15.2,7.3,2.7,-0.7
1966,-8.2,-5.3,0.7,4.6,9.4,17.8,21.3,19.4,14.0,8.3,3.9,-3.2
1967,-3.5,-8.7,-2.5,6.1,8.5,19.3,18.9,17.9,14.2,8.8,1.3,-1.9
1968,-8.8,-7.6,0.3,7.6,9.7,16.4,19.5,18.7,16.6,10.1,2.6,-4.8
1969,-6.5,-5.1,-1.8,6.8,11.2,15.9,20.1,20.9,15.6,8.3,3.3,-6.3
1970,-10.9,-6.6,-2.3,6.6,12.0,17.1,20.6,19.7,15.4,10.1,4.1,-5.2
1971,-9.2,-5.2,-3.5,4.6,11.6,17.9,19.0,18.8,16.9,12.6,2.6,-1.3
1972,-6.0,-8.0,-4.3,2.8,13.0,15.6,19.8,18.5,15.4,6.3,1.0,-3.1
1973,-4.3,-7.6,3.2,6.5,10.9,18.4,20.8,21.9,15.7,10.7,3.6,-4.5
1974,-5.9,-8.0,-1.0,7.0,9.9,16.6,20.3,19.7,13.9,7.1,3.1,-1.3
1975,-3.4,-3.9,-2.5,2.8,15.5,18.1,21.6,19.9,13.1,9.4,6.4,-4.9
1976,-10.1,-2.8,0.2,7.7,10.6,18.6,18.6,18.6,14.4,6.1,0.2,-7.5
1977,-11.7,-6.0,2.2,7.4,14.5,16.7,20.5,18.0,15.1,8.0,4.0,-4.5
1978,-8.6,-9.9,-3.9,4.0,13.2,16.7,20.4,19.7,14.6,8.2,3.0,-2.8
