,Year,Month,Mean Temp (°C),Date/Time
0,,JAN,,Jan-48
1,1948,FEB,,Feb-48
2,1948,MAR,,Mar-48
3,1948,APR,,Apr-48
4,1948,MAY,,May-48
5,1948,JUN,,Jun-48
6,1948,JUL,,Jul-48
7,1948,AUG,,Aug-48
8,1948,SEP,,Sep-48
9,1948,OCT,8.1,Oct-48
10,1948,NOV,6.1,Nov-48
11,1948,DEC,-2,Dec-48
12,1949,JAN,-3.2,Jan-49
13,1949,FEB,-3.7,Feb-49
14,1949,MAR,-1.9,Mar-49
15,1949,APR,6.4,Apr-49
16,1949,MAY,13.1,May-49
17,1949,JUN,21.1,Jun-49
18,1949,JUL,21.8,Jul-49
19,1949,AUG,21.4,Aug-49
20,1949,SEP,13.7,Sep-49
21,1949,OCT,11.6,Oct-49
22,1949,NOV,1.2,Nov-49
23,1949,DEC,-1.8,Dec-49
24,1950,JAN,-2,Jan-50
25,1950,FEB,-7,Feb-50
26,1950,MAR,-4.3,Mar-50
27,1950,APR,2.9,Apr-50
28,1950,MAY,12,May-50
29,1950,JUN,17.1,Jun-50
30,1950,JUL,19.2,Jul-50
31,1950,AUG,19.3,Aug-50
32,1950,SEP,14.2,Sep-50
33,1950,OCT,10.7,Oct-50
34,1950,NOV,1.9,Nov-50
35,1950,DEC,-4,Dec-50
36,1951,JAN,-4.3,Jan-51
37,1951,FEB,-5,Feb-51
38,1951,MAR,-0.1,Mar-51
39,1951,APR,6.2,Apr-51
40,1951,MAY,13.3,May-51
41,1951,JUN,17,Jun-51
42,1951,JUL,19.9,Jul-51
43,1951,AUG,18.1,Aug-51
44,1951,SEP,14.8,Sep-51
45,1951,OCT,9.5,Oct-51
46,1951,NOV,-0.4,Nov-51
47,1951,DEC,-3.8,Dec-51
48,1952,JAN,-5.3,Jan-52
49,1952,FEB,-4.2,Feb-52
50,1952,MAR,-1.6,Mar-52
51,1952,APR,8.1,Apr-52
52,1952,MAY,10.8,May-52
53,1952,JUN,18.9,Jun-52
54,1952,JUL,21.3,Jul-52
55,1952,AUG,18.5,Aug-52
56,1952,SEP,16.5,Sep-52
57,1952,OCT,6.6,Oct-52
58,1952,NOV,4.3,Nov-52
59,1952,DEC,-1.1,Dec-52
60,1953,JAN,-3.3,Jan-53
61,1953,FEB,-2.7,Feb-53
62,1953,MAR,0.8,Mar-53
63,1953,APR,5.6,Apr-53
64,1953,MAY,12.5,May-53
65,1953,JUN,17.7,Jun-53
66,1953,JUL,20.2,Jul-53
67,1953,AUG,19.5,Aug-53
68,1953,SEP,15.2,Sep-53
69,1953,OCT,9.7,Oct-53
70,1953,NOV,4.8,Nov-53
71,1953,DEC,-0.8,Dec-53
72,1954,JAN,-8.5,Jan-54
73,1954,FEB,-1.9,Feb-54
74,1954,MAR,-1.9,Mar-54
75,1954,APR,6.7,Apr-54
76,1954,MAY,10.5,May-54
77,1954,JUN,18.4,Jun-54
78,1954,JUL,19.1,Jul-54
79,1954,AUG,18,Aug-54
80,1954,SEP,14.7,Sep-54
81,1954,OCT,10.3,Oct-54
82,1954,NOV,3.3,Nov-54
83,1954,DEC,-4.1,Dec-54
84,1955,JAN,-6.7,Jan-55
85,1955,FEB,-6,Feb-55
86,1955,MAR,-1.8,Mar-55
87,1955,APR,8.8,Apr-55
88,1955,MAY,13.8,May-55
89,1955,JUN,18,Jun-55
90,1955,JUL,22.8,Jul-55
91,1955,AUG,21.6,Aug-55
92,1955,SEP,14.2,Sep-55
93,1955,OCT,10.6,Oct-55
94,1955,NOV,2,Nov-55
95,1955,DEC,-5.9,Dec-55
96,1956,JAN,-6.7,Jan-56
97,1956,FEB,-5,Feb-56
98,1956,MAR,-2.9,Mar-56
99,1956,APR,4,Apr-56
100,1956,MAY,9.9,May-56
101,1956,JUN,17.2,Jun-56
102,1956,JUL,18,Jul-56
103,1956,AUG,18.8,Aug-56
104,1956,SEP,12.6,Sep-56
105,1956,OCT,10,Oct-56
106,1956,NOV,3.5,Nov-56
107,1956,DEC,-1.8,Dec-56
108,1957,JAN,-9.4,Jan-57
109,1957,FEB,-4.6,Feb-57
110,1957,MAR,0.2,Mar-57
111,1957,APR,7.5,Apr-57
112,1957,MAY,11.3,May-57
113,1957,JUN,18.1,Jun-57
114,1957,JUL,19.9,Jul-57
115,1957,AUG,18.3,Aug-57
116,1957,SEP,15,Sep-57
117,1957,OCT,8.4,Oct-57
118,1957,NOV,3.5,Nov-57
119,1957,DEC,-1.6,Dec-57
120,1958,JAN,-6.1,Jan-58
121,1958,FEB,-8.8,Feb-58
122,1958,MAR,0.9,Mar-58
123,1958,APR,7.4,Apr-58
124,1958,MAY,10.8,May-58
125,1958,JUN,14.9,Jun-58
126,1958,JUL,19.8,Jul-58
127,1958,AUG,18.6,Aug-58
128,1958,SEP,15.5,Sep-58
129,1958,OCT,8.9,Oct-58
130,1958,NOV,3.3,Nov-58
131,1958,DEC,-8,Dec-58
132,1959,JAN,-8,Jan-59
133,1959,FEB,-9.2,Feb-59
134,1959,MAR,-3,Mar-59
135,1959,APR,6.3,Apr-59
136,1959,MAY,13.2,May-59
137,1959,JUN,18.7,Jun-59
138,1959,JUL,20.9,Jul-59
139,1959,AUG,22.5,Aug-59
140,1959,SEP,17.1,Sep-59
141,1959,OCT,9,Oct-59
142,1959,NOV,1.3,Nov-59
143,1959,DEC,-2.3,Dec-59
144,1960,JAN,-6.2,Jan-60
145,1960,FEB,-5.6,Feb-60
146,1960,MAR,-7.5,Mar-60
147,1960,APR,6.8,Apr-60
148,1960,MAY,12.8,May-60
149,1960,JUN,17.4,Jun-60
150,1960,JUL,18.7,Jul-60
151,1960,AUG,18.9,Aug-60
152,1960,SEP,16.4,Sep-60
153,1960,OCT,8.4,Oct-60
154,1960,NOV,4.7,Nov-60
155,1960,DEC,-6.9,Dec-60
156,1961,JAN,-9.1,Jan-61
157,1961,FEB,-4,Feb-61
158,1961,MAR,-0.5,Mar-61
159,1961,APR,4.3,Apr-61
160,1961,MAY,10.8,May-61
161,1961,JUN,16.8,Jun-61
162,1961,JUL,19.8,Jul-61
163,1961,AUG,19.6,Aug-61
164,1961,SEP,18.4,Sep-61
165,1961,OCT,10.6,Oct-61
166,1961,NOV,2.1,Nov-61
167,1961,DEC,-3.1,Dec-61
168,1962,JAN,-7.9,Jan-62
169,1962,FEB,-8.2,Feb-62
170,1962,MAR,-0.5,Mar-62
171,1962,APR,6.7,Apr-62
172,1962,MAY,14.3,May-62
173,1962,JUN,17.1,Jun-62
174,1962,JUL,18.5,Jul-62
175,1962,AUG,19.1,Aug-62
176,1962,SEP,13.8,Sep-62
177,1962,OCT,9.5,Oct-62
178,1962,NOV,1.7,Nov-62
179,1962,DEC,-5.3,Dec-62
180,1963,JAN,-9.3,Jan-63
181,1963,FEB,-10.7,Feb-63
182,1963,MAR,-0.1,Mar-63
183,1963,APR,5.7,Apr-63
184,1963,MAY,10.6,May-63
185,1963,JUN,17.5,Jun-63
186,1963,JUL,20,Jul-63
187,1963,AUG,17.7,Aug-63
188,1963,SEP,12.6,Sep-63
189,1963,OCT,12.4,Oct-63
190,1963,NOV,5.7,Nov-63
191,1963,DEC,-8.7,Dec-63
192,1964,JAN,-4.9,Jan-64
193,1964,FEB,-6.6,Feb-64
194,1964,MAR,-1.4,Mar-64
195,1964,APR,5.6,Apr-64
196,1964,MAY,13.6,May-64
197,1964,JUN,16.8,Jun-64
198,1964,JUL,21.1,Jul-64
199,1964,AUG,17,Aug-64
200,1964,SEP,14.6,Sep-64
201,1964,OCT,7.9,Oct-64
202,1964,NOV,3.9,Nov-64
203,1964,DEC,-3.4,Dec-64
204,1965,JAN,-7.4,Jan-65
205,1965,FEB,-5.8,Feb-65
206,1965,MAR,-3,Mar-65
207,1965,APR,3.8,Apr-65
208,1965,MAY,13.8,May-65
209,1965,JUN,16.9,Jun-65
210,1965,JUL,17.8,Jul-65
211,1965,AUG,18.5,Aug-65
212,1965,SEP,15.8,Sep-65
213,1965,OCT,7.8,Oct-65
214,1965,NOV,2.7,Nov-65
215,1965,DEC,-0.8,Dec-65
216,1966,JAN,-8,Jan-66
217,1966,FEB,-5.1,Feb-66
218,1966,MAR,0.8,Mar-66
219,1966,APR,4.8,Apr-66
220,1966,MAY,9.4,May-66
221,1966,JUN,18.1,Jun-66
222,1966,JUL,21.2,Jul-66
