Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.6,43.78,WOODBRIDGE,6159575,Jan-48,,1,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Feb-48,1948,2,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Mar-48,1948,3,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Apr-48,1948,4,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,May-48,1948,5,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Jun-48,1948,6,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Jul-48,1948,7,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Aug-48,1948,8,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Sep-48,1948,9,,M,,M,,M,,M,,M,,M,,M,,M,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Oct-48,1948,10,12.9,,3.3,,8.1,,21.1,,-5,,47.5,,0,,47.5,,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Nov-48,1948,11,9.6,,2.6,,6.1,,18.9,,-3.9,,79,,0.3,,79.2,,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Dec-48,1948,12,1.8,,-5.8,,-2,,12.2,,-21.7,,27.7,,30.2,,57.9,,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Jan-49,1949,1,0.5,,-6.9,,-3.2,,12.2,,-17.2,,44.7,,29.7,,74.4,,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Feb-49,1949,2,1,,-8.4,,-3.7,,11.1,,-22.8,,62,,31.2,,93.2,,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Mar-49,1949,3,2.9,,-6.7,,-1.9,,18.9,,-21.1,,25.4,,35.3,,60.7,,,,,,,
-79.6,43.78,WOODBRIDGE,6159575,Apr-49,1949,4,12.7,,0.1,,6.4,,25,,-6.1,S,35.1,,0,T,35.1,,,,,,,
