Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1949.0,74.4,93.2,60.7,35.1,6.6,4.8,57.2,78.7,84.3,66.5,36.1,88.1
1950.0,89.7,86.4,78.7,64.3,15.2,67.3,73.4,72.4,15.5,68.3,120.9,37.3
1951.0,53.1,42.7,124.7,126.0,46.2,70.6,101.9,48.5,42.2,64.0,62.7,89.7
1953.0,46.7,42.7,76.2,75.9,133.9,71.4,103.6,71.9,84.3,22.9,43.9,48.8
1954.0,54.9,79.8,72.9,94.5,38.6,97.5,10.4,108.0,58.2,200.7,51.6,60.5
1955.0,57.4,49.5,65.3,61.0,72.9,66.3,22.9,109.7,40.6,82.8,55.1,61.7
1956.0,50.8,44.5,88.4,78.0,96.8,70.9,130.0,193.3,32.8,24.4,39.1,63.2
1957.0,65.0,67.3,24.1,72.1,75.9,100.3,30.2,53.1,83.6,58.9,46.2,67.8
1958.0,40.1,36.6,11.2,26.9,23.1,30.5,81.0,73.2,80.0,30.0,60.7,19.3
1959.0,71.1,81.0,59.7,57.2,47.0,29.7,33.5,59.2,64.5,73.7,56.6,93.0
1964.0,68.3,41.9,85.6,62.2,51.8,31.0,103.9,125.0,8.6,41.7,38.4,44.7
1965.0,64.3,90.4,33.8,57.2,34.3,38.1,63.5,52.6,74.9,110.5,85.6,64.5
1966.0,71.9,43.2,50.8,48.0,44.2,69.9,32.8,51.3,71.4,34.3,117.9,89.2
1967.0,63.5,51.3,22.9,67.3,53.3,180.6,67.8,69.6,76.7,82.6,54.1,69.1
1969.0,56.9,11.4,39.4,93.2,68.1,39.9,98.8,60.5,13.2,48.0,79.8,53.6
1970.0,52.6,16.8,45.7,74.7,63.2,42.7,87.1,91.7,94.7,57.4,49.5,102.4
1971.0,36.8,59.9,35.3,25.4,31.5,56.9,132.8,147.3,50.3,24.9,40.9,106.9
1972.0,52.1,63.0,98.6,63.5,50.8,86.4,37.8,50.5,67.8,81.8,62.2,106.9
1973.0,31.8,44.2,113.3,54.1,87.6,58.9,36.3,5.1,35.6,102.6,85.3,78.7
1974.0,74.7,43.7,55.6,79.8,132.1,94.0,32.0,9.7,50.8,31.8,87.4,47.2
1975.0,61.5,63.5,53.8,65.8,56.4,43.2,49.0,76.7,51.8,37.8,43.9,72.1
1976.0,63.0,62.5,76.7,48.8,91.2,83.1,112.5,85.1,64.8,56.6,11.9,60.2
1977.0,63.9,27.1,79.3,61.7,34.3,91.8,107.8,107.5,153.0,80.8,96.5,84.8
1978.0,65.3,11.9,39.6,65.8,65.0,42.4,19.7,123.5,146.9,63.2,51.7,53.9
1979.0,76.8,27.7,54.8,80.6,98.6,81.4,28.7,96.0,52.8,107.9,102.1,89.8
1980.0,38.8,4.0,56.1,122.5,52.2,104.3,111.1,48.4,58.1,80.2,38.5,62.1
1981.0,18.0,76.0,26.9,23.2,82.9,76.3,77.4,123.7,104.9,107.6,59.0,35.6
1982.0,57.4,32.8,66.2,54.5,45.8,133.8,41.4,108.7,122.0,57.9,116.5,85.0
1983.0,37.3,39.1,57.0,86.0,121.9,34.4,46.3,64.1,57.5,90.7,91.4,72.0
1984.0,35.8,82.0,74.0,65.8,107.6,57.7,46.9,79.5,119.3,31.7,75.7,62.3
1985.0,46.2,78.3,66.9,48.5,90.7,67.5,68.3,182.4,60.2,61.9,156.9,37.0
1987.0,47.3,8.0,41.2,46.1,26.0,50.4,94.6,80.9,76.6,55.0,86.1,57.8
1988.0,25.2,56.4,24.3,65.9,42.3,29.0,48.6,27.9,92.6,73.6,66.8,30.0
1989.0,30.4,20.3,23.6,43.7,87.1,92.1,38.0,83.6,63.7,74.1,99.5,45.0
1990.0,40.2,72.3,43.4,51.5,76.6,71.2,56.6,104.0,55.0,113.0,49.1,98.0
1991.0,36.1,31.4,85.4,97.4,90.9,31.1,81.1,55.2,51.5,64.4,48.9,47.6
1994.0,76.1,23.1,57.4,85.3,79.1,49.1,102.5,46.5,63.8,46.0,68.7,65.4
1995.0,123.3,26.8,36.1,72.5,89.9,68.3,44.7,107.8,43.9,121.1,130.4,33.7
1996.0,66.3,44.1,41.8,91.0,93.1,131.7,87.5,38.5,181.5,81.9,41.5,97.8
1997.0,56.3,67.2,64.6,24.2,57.2,72.9,73.8,66.3,50.8,32.2,41.6,21.0
1998.0,70.3,45.1,69.1,46.4,57.0,78.6,41.7,38.3,44.8,22.4,27.4,50.3
1999.0,103.0,19.8,14.1,42.2,56.3,115.4,43.3,51.5,100.4,73.8,69.6,31.2
2000.0,31.0,43.7,25.8,70.8,145.4,168.6,92.0,63.0,76.4,26.0,75.3,66.7
2001.0,33.1,70.3,51.0,40.1,97.8,77.6,62.8,77.4,52.2,114.0,91.1,50.1
2002.0,40.0,34.0,71.7,85.7,86.4,51.0,100.9,14.6,77.0,59.4,69.7,25.0
2003.0,40.5,50.2,53.3,34.4,98.7,61.8,44.1,120.0,115.2,67.4,140.4,67.3
2004.0,51.4,21.0,75.8,80.0,104.8,70.5,139.8,55.2,24.0,32.5,74.6,82.7
