Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1949.0,-3.2,-3.7,-1.9,6.4,13.1,21.1,21.8,21.4,13.7,11.6,1.2,-1.8
1950.0,-2.0,-7.0,-4.3,2.9,12.0,17.1,19.2,19.3,14.2,10.7,1.9,-4.0
1951.0,-4.3,-5.0,-0.1,6.2,13.3,17.0,19.9,18.1,14.8,9.5,-0.4,-3.8
1952.0,-5.3,-4.2,-1.6,8.1,10.8,18.9,21.3,18.5,16.5,6.6,4.3,-1.1
1953.0,-3.3,-2.7,0.8,5.6,12.5,17.7,20.2,19.5,15.2,9.7,4.8,-0.8
1954.0,-8.5,-1.9,-1.9,6.7,10.5,18.4,19.1,18.0,14.7,10.3,3.3,-4.1
1955.0,-6.7,-6.0,-1.8,8.8,13.8,18.0,22.8,21.6,14.2,10.6,2.0,-5.9
1956.0,-6.7,-5.0,-2.9,4.0,9.9,17.2,18.0,18.8,12.6,10.0,3.5,-1.8
1957.0,-9.4,-4.6,0.2,7.5,11.3,18.1,19.9,18.3,15.0,8.4,3.5,-1.6
1958.0,-6.1,-8.8,0.9,7.4,10.8,14.9,19.8,18.6,15.5,8.9,3.3,-8.0
1959.0,-8.0,-9.2,-3.0,6.3,13.2,18.7,20.9,22.5,17.1,9.0,1.3,-2.3
1960.0,-6.2,-5.6,-7.5,6.8,12.8,17.4,18.7,18.9,16.4,8.4,4.7,-6.9
1961.0,-9.1,-4.0,-0.5,4.3,10.8,16.8,19.8,19.6,18.4,10.6,2.1,-3.1
1962.0,-7.9,-8.2,-0.5,6.7,14.3,17.1,18.5,19.1,13.8,9.5,1.7,-5.3
1963.0,-9.3,-10.7,-0.1,5.7,10.6,17.5,20.0,17.7,12.6,12.4,5.7,-8.7
1964.0,-4.9,-6.6,-1.4,5.6,13.6,16.8,21.1,17.0,14.6,7.9,3.9,-3.4
1965.0,-7.4,-5.8,-3.0,3.8,13.8,16.9,17.8,18.5,15.8,7.8,2.7,-0.8
1966.0,-8.0,-5.1,0.8,4.8,9.4,18.1,21.2,19.2,14.0,8.6,3.9,-3.3
1967.0,-3.5,-9.0,-2.0,6.3,9.0,19.6,19.4,18.4,13.7,9.2,1.3,-1.9
1969.0,-6.4,-4.9,-2.2,7.2,12.1,16.1,20.1,21.0,15.8,8.7,3.7,-5.8
1970.0,-10.8,-7.0,-2.2,7.1,12.7,17.6,20.9,19.9,15.8,10.5,4.4,-5.4
1971.0,-9.6,-4.8,-3.5,4.8,11.8,18.3,19.6,19.3,17.4,12.8,2.4,-1.6
1972.0,-5.9,-8.3,-4.6,2.7,13.2,15.7,19.9,18.7,15.9,6.4,0.9,-3.7
1973.0,-4.7,-7.9,2.9,6.3,10.8,18.6,20.7,21.3,15.5,10.6,3.2,-4.8
1974.0,-6.3,-8.3,-1.5,6.7,10.2,16.6,19.7,19.4,13.4,6.8,2.4,-1.8
1975.0,-4.3,-4.5,-2.9,2.1,15.3,18.2,21.1,20.4,13.6,10.1,6.7,-5.4
1976.0,-9.8,-2.4,0.2,7.8,11.0,19.4,19.0,18.8,14.4,6.3,-0.3,-8.0
1977.0,-11.7,-5.9,2.4,7.4,14.7,17.1,20.9,18.7,15.5,8.1,4.3,-4.6
1978.0,-9.1,-10.1,-4.0,4.4,13.7,17.2,21.0,20.2,14.9,8.6,3.0,-2.5
1979.0,-7.6,-10.6,2.0,5.6,12.1,17.5,20.7,19.0,15.4,8.8,3.9,-1.3
1980.0,-5.2,-7.5,-1.6,6.6,14.5,15.2,20.6,21.3,15.2,7.2,2.0,-6.8
1981.0,-10.7,-2.2,0.5,7.9,11.8,17.9,21.0,19.4,14.7,6.8,3.3,-3.1
1982.0,-9.9,-7.8,-3.1,3.8,13.8,14.8,19.9,16.5,13.7,8.8,3.1,-1.0
1983.0,-5.4,-4.6,0.0,4.3,9.1,16.8,21.1,19.8,15.4,7.8,1.5,-7.3
1984.0,-10.6,-3.0,-5.9,5.6,8.8,17.0,19.0,20.4,13.0,9.7,2.0,-1.2
1985.0,-9.3,-7.1,-1.0,6.9,12.6,14.7,18.8,18.3,15.7,8.8,1.7,-6.2
1986.0,-7.4,-8.1,-0.4,6.6,13.6,15.7,19.7,17.1,13.4,8.0,0.3,-3.1
1987.0,-6.1,-6.9,0.3,7.7,13.3,18.1,21.1,18.0,14.1,5.6,1.7,-2.3
1988.0,-6.6,-8.2,-2.1,5.0,12.7,18.1,23.2,21.8,15.6,7.5,4.7,-2.5
1989.0,-2.2,-6.2,-2.3,5.2,13.4,18.9,21.8,19.7,15.7,9.8,2.0,-9.9
1990.0,-1.3,-3.7,0.7,8.8,12.0,18.7,21.1,20.3,15.6,9.5,4.5,-1.3
1991.0,-6.1,-2.4,1.4,8.9,16.5,20.1,21.6,21.4,15.3,10.6,2.1,-2.7
1994.0,-12.3,-8.5,-0.9,7.4,11.4,18.8,21.1,18.3,15.1,9.0,4.7,-0.7
1995.0,-3.2,-7.8,1.7,4.0,13.2,19.6,22.1,21.6,13.6,10.3,0.8,-5.3
1996.0,-7.0,-6.4,-2.6,4.5,11.9,18.6,19.6,20.6,16.3,9.0,0.9,-0.1
1997.0,-6.4,-3.4,-1.0,5.8,10.3,20.1,20.7,18.6,15.2,9.4,2.4,-0.8
1998.0,-2.7,-0.4,2.4,8.7,17.2,18.9,21.0,21.2,17.7,10.3,4.5,0.0
1999.0,-6.6,-1.8,0.0,7.8,15.0,19.8,23.2,19.5,17.0,8.3,3.5,-2.5
2000.0,-6.7,-2.9,4.3,6.7,14.5,18.4,19.5,19.8,15.1,10.7,4.5,-7.4
