,year,month,date_time,mean_temp
0,1840,APR,1840-04-01,6.7
1,1840,AUG,1840-08-01,19.0
2,1840,DEC,1840-12-01,-4.9
3,1840,JUL,1840-07-01,19.5
4,1840,JUN,1840-06-01,15.8
5,1840,MAR,1840-03-01,1.2
6,1840,MAY,1840-05-01,12.4
7,1840,NOV,1840-11-01,2.1
8,1840,OCT,1840-10-01,7.4
9,1840,SEP,1840-09-01,12.6
10,1841,APR,1841-04-01,4.3
11,1841,AUG,1841-08-01,18.7
12,1841,DEC,1841-12-01,-2.0
13,1841,FEB,1841-02-01,-5.5
14,1841,JAN,1841-01-01,-4.5
15,1841,JUL,1841-07-01,19.2
16,1841,JUN,1841-06-01,19.4
17,1841,MAR,1841-03-01,-2.3
18,1841,MAY,1841-05-01,11.0
19,1841,NOV,1841-11-01,1.3
20,1841,OCT,1841-10-01,5.7
21,1841,SEP,1841-09-01,16.1
22,1842,APR,1842-04-01,7.0
23,1842,AUG,1842-08-01,19.5
24,1842,DEC,1842-12-01,-3.8
25,1842,FEB,1842-02-01,-2.2
26,1842,JAN,1842-01-01,-2.9
27,1842,JUL,1842-07-01,18.6
28,1842,JUN,1842-06-01,14.5
29,1842,MAR,1842-03-01,2.7
30,1842,MAY,1842-05-01,10.2
31,1842,NOV,1842-11-01,1.0
32,1842,OCT,1842-10-01,7.8
33,1842,SEP,1842-09-01,13.8
34,1843,APR,1843-04-01,5.1
35,1843,AUG,1843-08-01,19.4
36,1843,DEC,1843-12-01,-0.7
37,1843,FEB,1843-02-01,-8.6
38,1843,JAN,1843-01-01,-2.2
39,1843,JUL,1843-07-01,19.0
40,1843,JUN,1843-06-01,14.8
41,1843,MAR,1843-03-01,-5.8
42,1843,MAY,1843-05-01,10.8
43,1843,NOV,1843-11-01,0.7
44,1843,OCT,1843-10-01,6.4
45,1843,SEP,1843-09-01,16.4
46,1844,APR,1844-04-01,9.3
47,1844,AUG,1844-08-01,18.4
48,1844,DEC,1844-12-01,-2.1
49,1844,FEB,1844-02-01,-3.6
50,1844,JAN,1844-01-01,-6.5
51,1844,JUL,1844-07-01,19.5
