,index,year,month,date_time,mean_temp
0,5,1840,MAR,1840-03-01,1.2
1,0,1840,APR,1840-04-01,6.7
2,6,1840,MAY,1840-05-01,12.4
3,4,1840,JUN,1840-06-01,15.8
4,3,1840,JUL,1840-07-01,19.5
5,1,1840,AUG,1840-08-01,19.0
6,9,1840,SEP,1840-09-01,12.6
7,8,1840,OCT,1840-10-01,7.4
8,7,1840,NOV,1840-11-01,2.1
9,2,1840,DEC,1840-12-01,-4.9
10,14,1841,JAN,1841-01-01,-4.5
11,13,1841,FEB,1841-02-01,-5.5
12,17,1841,MAR,1841-03-01,-2.3
13,10,1841,APR,1841-04-01,4.3
14,18,1841,MAY,1841-05-01,11.0
15,16,1841,JUN,1841-06-01,19.4
16,15,1841,JUL,1841-07-01,19.2
17,11,1841,AUG,1841-08-01,18.7
18,21,1841,SEP,1841-09-01,16.1
19,20,1841,OCT,1841-10-01,5.7
20,19,1841,NOV,1841-11-01,1.3
21,12,1841,DEC,1841-12-01,-2.0
22,26,1842,JAN,1842-01-01,-2.9
23,25,1842,FEB,1842-02-01,-2.2
24,29,1842,MAR,1842-03-01,2.7
25,22,1842,APR,1842-04-01,7.0
26,30,1842,MAY,1842-05-01,10.2
27,28,1842,JUN,1842-06-01,14.5
28,27,1842,JUL,1842-07-01,18.6
29,23,1842,AUG,1842-08-01,19.5
30,33,1842,SEP,1842-09-01,13.8
31,32,1842,OCT,1842-10-01,7.8
32,31,1842,NOV,1842-11-01,1.0
33,24,1842,DEC,1842-12-01,-3.8
34,38,1843,JAN,1843-01-01,-2.2
35,37,1843,FEB,1843-02-01,-8.6
36,41,1843,MAR,1843-03-01,-5.8
37,34,1843,APR,1843-04-01,5.1
38,42,1843,MAY,1843-05-01,10.8
39,40,1843,JUN,1843-06-01,14.8
40,39,1843,JUL,1843-07-01,19.0
41,35,1843,AUG,1843-08-01,19.4
42,45,1843,SEP,1843-09-01,16.4
43,44,1843,OCT,1843-10-01,6.4
44,43,1843,NOV,1843-11-01,0.7
45,36,1843,DEC,1843-12-01,-0.7
46,50,1844,JAN,1844-01-01,-6.5
47,49,1844,FEB,1844-02-01,-3.6
48,53,1844,MAR,1844-03-01,0.2
49,46,1844,APR,1844-04-01,9.3
50,54,1844,MAY,1844-05-01,13.2
51,52,1844,JUN,1844-06-01,16.1
52,51,1844,JUL,1844-07-01,19.5
53,47,1844,AUG,1844-08-01,18.4
54,57,1844,SEP,1844-09-01,15.4
55,56,1844,OCT,1844-10-01,6.6
56,55,1844,NOV,1844-11-01,1.9
57,48,1844,DEC,1844-12-01,-2.1
58,62,1845,JAN,1845-01-01,-3.2
59,61,1845,FEB,1845-02-01,-3.5
60,65,1845,MAR,1845-03-01,1.6
61,58,1845,APR,1845-04-01,5.8
62,66,1845,MAY,1845-05-01,10.3
63,64,1845,JUN,1845-06-01,15.9
64,63,1845,JUL,1845-07-01,19.2
65,59,1845,AUG,1845-08-01,19.4
66,69,1845,SEP,1845-09-01,12.8
67,68,1845,OCT,1845-10-01,7.5
68,67,1845,NOV,1845-11-01,2.6
69,60,1845,DEC,1845-12-01,-6.3
70,74,1846,JAN,1846-01-01,-3.8
71,73,1846,FEB,1846-02-01,-7.5
72,77,1846,MAR,1846-03-01,-0.3
73,70,1846,APR,1846-04-01,6.5
74,78,1846,MAY,1846-05-01,13.2
75,76,1846,JUN,1846-06-01,17.3
76,75,1846,JUL,1846-07-01,20.4
77,71,1846,AUG,1846-08-01,19.9
78,81,1846,SEP,1846-09-01,17.3
79,80,1846,OCT,1846-10-01,7.2
80,79,1846,NOV,1846-11-01,5.1
81,72,1846,DEC,1846-12-01,-2.8
82,86,1847,JAN,1847-01-01,-5.4
83,85,1847,FEB,1847-02-01,-5.7
84,89,1847,MAR,1847-03-01,-3.3
85,82,1847,APR,1847-04-01,3.3
86,90,1847,MAY,1847-05-01,11.5
87,88,1847,JUN,1847-06-01,14.5
88,87,1847,JUL,1847-07-01,19.9
89,83,1847,AUG,1847-08-01,17.8
90,93,1847,SEP,1847-09-01,13.0
91,92,1847,OCT,1847-10-01,6.9
92,91,1847,NOV,1847-11-01,3.5
93,84,1847,DEC,1847-12-01,-2.0
94,98,1848,JAN,1848-01-01,-2.7
95,97,1848,FEB,1848-02-01,-2.9
96,101,1848,MAR,1848-03-01,-2.2
97,94,1848,APR,1848-04-01,4.9
98,102,1848,MAY,1848-05-01,12.1
99,100,1848,JUN,1848-06-01,16.4
100,99,1848,JUL,1848-07-01,18.0
101,95,1848,AUG,1848-08-01,19.6
102,105,1848,SEP,1848-09-01,12.2
103,104,1848,OCT,1848-10-01,7.6
104,103,1848,NOV,1848-11-01,0.9
105,96,1848,DEC,1848-12-01,-1.5
106,110,1849,JAN,1849-01-01,-7.4
107,109,1849,FEB,1849-02-01,-7.6
108,113,1849,MAR,1849-03-01,0.4
109,106,1849,APR,1849-04-01,3.3
110,114,1849,MAY,1849-05-01,8.9
111,112,1849,JUN,1849-06-01,16.7
112,111,1849,JUL,1849-07-01,19.3
113,107,1849,AUG,1849-08-01,18.2
114,117,1849,SEP,1849-09-01,14.2
115,116,1849,OCT,1849-10-01,7.7
116,115,1849,NOV,1849-11-01,5.6
